編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPOMLPKJINFFAN68CA,坡道平面,700000,
RPVNMLQKJINFFDN96CA,坡道平面,0,
RPWNMLQKJINFFDN07CA,坡道平面,0,
RPQNMLKLJINFFCN48CA,升降機械,0,
RPTNMLQKJINFFBN56CA,坡道機械,0,
RPSOMLQJKINFFAN09CA,坡道機械,0,
RPQNMLTLJINFFDN86CA,坡道平面,1000000,15.67
RPXQMLRLJINFFAN37CA,坡道平面,0,
RPUNMLTKJINFFCN07CA,坡道平面,0,
RPSPMLRLJINFFAN76CA,坡道平面,0,
RPSPMLRLJINFFAN76CA,坡道機械,0,
RPPOMLRKKINFFAN98CA,坡道機械,0,
RPWOMLRJKINFFAN96CA,坡道平面,0,
RPRNMLLKKINFFDN78CA,坡道平面,950000,28.63
RPQNMLLKKINFFDN68CA,坡道平面,900000,28.63
RPUOMLKKKINFFDN09CA,坡道平面,1000000,28.63
RPWNMLKKKINFFDN56CA,坡道平面,1000000,29.77
RPUNMLKKKINFFDN98CA,坡道平面,950000,28.63
RPVNMLKKKINFFDN09CA,坡道平面,1000000,29.77
RPQOMLKKKINFFDN68CA,坡道平面,1000000,29.77
RPOOMLKKKINFFDN48CA,坡道平面,1000000,29.77
RPSOMLKKKINFFDN88CA,坡道平面,1000000,29.77
RPXNMLKKKINFFDN66CA,坡道平面,1000000,29.77
RPROMLKKKINFFDN78CA,坡道平面,950000,28.63
RPWOMLKKKINFFDN66CA,坡道平面,1000000,29.77
RPRPMLKKKINFFDN88CA,坡道平面,1000000,29.77
RPQPMLKKKINFFDN78CA,坡道平面,950000,28.63
RPPPMLKKKINFFDN68CA,坡道平面,1000000,29.77
RPSPMLKKKINFFDN98CA,坡道平面,1000000,29.77
RPTPMLKKKINFFDN09CA,坡道平面,1000000,29.77
RPOPMLKKKINFFDN58CA,坡道平面,900000,28.63
RPXOMLKKKINFFDN76CA,坡道平面,950000,29.77
RPVPMLKKKINFFDN66CA,坡道平面,950000,29.77
RPUPMLKKKINFFDN56CA,坡道平面,950000,29.77
RPUNMLMLJINFFAN88CA,坡道機械,0,
RPWNMLMLJINFFAN09CA,坡道機械,0,
RPOOMLMLJINFFAN38CA,坡道機械,0,
RPPOMLMLJINFFAN48CA,坡道機械,0,
RPROMLMLJINFFAN68CA,坡道機械,0,
RPQOMLMLJINFFAN58CA,坡道機械,0,
RPTOMLMLJINFFAN88CA,坡道機械,0,
RPSOMLMLJINFFAN78CA,坡道機械,0,
RPWNMLSLJINFFAN07CA,坡道平面,0,
RPQNMLOKKINFFAN68CA,坡道機械,0,
RPPNMLRLJINFFCN56DA,一樓平面,0,
RPWNMLQLJINFFAN96DA,坡道機械,0,
RPUNMLPJKINFFDN76CA,坡道平面,0,
RPSOMLQLJINFFAN56CA,坡道平面,0,
RPSNMLSLJINFFAN66CA,坡道平面,0,
RPWPMLRLJINFFAN17CA,坡道平面,0,
RPUOMLRLJINFFAN86CA,坡道平面,0,
RPSNMLPJKINFFDN66DA,坡道平面,0,
RPPNMLRKKINFFAN88CA,坡道機械,0,
RPRNMLTLJINFFAN66CA,一樓平面,0,
RPPNMLPJKINFFAN58CA,升降機械,0,
RPOPMLOKKINFFAN68CA,坡道平面,0,
