編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSRMLPJQHIFFAF48CA,坡道平面,1000000,34.91
RPRTMLLJQHIFFAF18CA,坡道機械,1300000,19.84
RPWPMLMJQHIFFAF38CA,坡道平面,0,34.26
RPRPMLSJQHIFFAF48CA,坡道平面,0,44.27
RPVOMLOKQHIFFAF48CA,坡道平面,0,
RPQRMLMJQHIFFBF08CA,坡道平面,1000000,35.80
RPORMLMJQHIFFBF87CA,坡道平面,2000000,35.80
RPORMLMJQHIFFBF87CA,坡道平面,1800000,35.80
RPRRMLMJQHIFFBF18CA,坡道平面,1200000,35.80
RPQNMLPJQHIFFBF97CA,坡道平面,0,
RPTPMLMJQHIFFBF18CA,坡道平面,0,
RPVPMLMJQHIFFBF38CA,坡道平面,0,
RPPQMLPJQHIFFBF18CA,坡道平面,2000000,38.70
RPOOMLMKQHIFFBF67CA,坡道平面,0,
RPUSMLTJQHIFFBF66CA,坡道平面,0,38.90
RPTTMLQJQHIFFBF98CA,坡道平面,0,33.79
RPUTMLQJQHIFFBF09CA,坡道平面,0,33.79
RPQPMLNKQHIFFBF08CA,坡道平面,0,
RPUPMLNKQHIFFBF48CA,坡道平面,0,
RPPSMLNKQHIFFBF28CA,坡道機械,0,
RPOTMLNKQHIFFBF28CA,坡道平面,1600000,26.53
RPOVMLPKQHIFFBF68CA,升降機械,1500000,17.07
RPVTMLPKQHIFFBF56CA,坡道平面,1900000,35.05
RPUTMLPKQHIFFBF09CA,坡道平面,1850000,32.94
RPXSMLPKQHIFFBF66CA,坡道平面,1700000,32.94
RPWSMLPKQHIFFBF56CA,坡道平面,1900000,35.05
RPXTMLPKQHIFFBF76CA,坡道平面,1800000,32.94
RPOQMLKLQHIFFBF77CA,坡道平面,2000000,32.14
RPQPMLTKQHIFFBF68CA,坡道平面,1900000,32.94
RPSPNLTKQHIFFBF98CA,坡道平面,0,34.54
RPXPMLMLQHIFFBF78CA,坡道平面,0,
RPRQMLKLQHIFFBF08CA,坡道平面,1800000,32.14
RPXQMLTLQHIFFBF96CA,坡道平面,1800000,17.32
RPRPMLQJQHIFFCF48CA,坡道平面,0,37.46
RPQPMLPJQHIFFCF28CA,坡道平面,0,
RPRPMLPKQHIFFCF48CA,坡道平面,0,23.11
RPVNMLTLQHIFFCF56CA,坡道平面,1150000,35.19
RPTNMLTLQHIFFCF98CA,坡道平面,50000,4.40
RPPOMLMJQHIFFDF87CA,坡道平面,0,14.99
RPSOMLPJQHIFFDF48CA,坡道平面,450000,33.46
RPWPMLPJQHIFFDF98CA,坡道平面,0,43.30
RPRNMLTJQHIFFDF68CA,坡道平面,1300000,24.23
RPRNMLTJQHIFFDF68CA,坡道平面,1300000,24.23
RPPOMLTJQHIFFDF58CA,坡道平面,0,29.56
RPRQMLMKQHIFFDF38CA,坡道平面,400000,
RPWQMLMJQHIFFEF88CA,坡道機械,0,
RPXQMLMJQHIFFEF98CA,坡道平面,0,
RPWRMLMJQHIFFEF98CA,坡道平面,0,18.02
RPURMLPJQHIFFEF09CA,坡道平面,1450000,33.30
RPVRMLPJQHIFFEF56CA,坡道平面,1250000,29.92
RPXRMLPJQHIFFEF76CA,坡道平面,950000,33.30
RPXRMLPJQHIFFEF76CA,坡道平面,950000,33.30
RPSSMLPJQHIFFEF98CA,坡道平面,1350000,29.92
RPVSMLPJQHIFFEF66CA,坡道平面,1250000,29.92
RPRQMLQJQHIFFEF78CA,升降機械,0,17.73
RPTNMLMKQHIFFEF38CA,坡道平面,1450000,33.30
RPTPMLRJQHIFFEF98CA,坡道平面,0,27.66
RPVQMLTJQHIFFEF86CA,坡道平面,0,22.88
RPXQMLTJQHIFFEF07CA,坡道平面,0,30.14
RPPOMLNKQHIFFEF18CA,升降機械,0,
RPVOMLNLQHIFFEF88CA,坡道平面,0,31.86
RPPOMLTKQHIFFEF78CA,坡道平面,0,
RPROMLKLQHIFFEF18CA,坡道平面,0,27.86
RPPOMLTLQHIFFEF88CA,坡道平面,0,35.36
RPXNMLQJQHIFFGF66CA,坡道平面,0,47.28
RPURMLQJQHIFFGF76CA,坡道平面,0,26.18
RPSPMLMKQHIFFGF68CA,坡道平面,0,36.42
RPUNMLSJQHIFFGF56CA,升降機械,0,
RPXOMLLJQHIFFHF98CA,其他,0,37.19
RPQOMLPJQHIFFHF68CA,坡道平面,0,38.89
RPRQMLPJQHIFFHF98CA,坡道平面,0,
RPQOMLQKQHIFFHF88CA,坡道平面,2400000,30.47
RPSOMLQKQHIFFHF09CA,坡道平面,1700000,30.47
RPQQMLSLQHIFFHF76CA,塔式車位,0,
RPOPMLKMQHIFFHF38CA,坡道平面,0,
RPUQMLQLQHIFFHF96CA,升降機械,0,
RPROMLQKRHIFFHF09CA,坡道平面,2300000,36.88
RPUPMLTJQHIFFIF07CA,坡道平面,0,19.88
RPVRMLTJQHIFFIF37CA,坡道平面,0,35.93
RPXOMLMKQHIFFIF66CA,坡道平面,0,39.58
RPOQMLNLQHIFFIF78CA,坡道平面,0,38.03
RPUOMLMJQHIFFCF38DA,坡道平面,2350000,32.40
RPTOMLMJQHIFFCF28DA,坡道平面,0,44.23
RPPQMLLJQHIFFCF97DA,坡道平面,0,24.88
RPOQMLRJQHIFFCF48DA,坡道平面,0,27.99
RPOQMLRJQHIFFCF48DA,坡道平面,0,27.99
RPPPMLPJQHIFFBF18DA,坡道平面,0,
RPXNMLPJQHIFFHF76DA,坡道平面,0,
RPVPMLPJQHIFFEF09DA,坡道平面,0,29.92
RPQNMLNJQHIFFIF58DA,升降機械,0,21.48
